answer1,answer2,type,numbers,ranges,question,,,,,,,,,studentID,degree
ross,ross,reading,nonumbers,,who was the weakest canidiate of the three ?,,,,,,,,,1,2
cliniton defeated dole,dole was defeated by cliniton,reading,nonumbers,,who defeated whom in this elections  (from the numbers stated above) ?,,,,,,,,,1,2
11%,11,reading,accurate,,what precentage of votes did the weakest candidate got ?,,,,,,,,,1,2
because  his party lost the house of representatives and the senate in 1994 .,his party lost the house of representatives and the senate,reading,nonumbers,,why did the winner had a small chance of wining at the begining ? ,,,,,,,,,1,2
"he was 73 , because they thought he was an old man with an old plan.","he was seventy three years old , because  people thought he was an old man for the elections.",reading,accurate,,"How old was dole when he entered the election  , and why his age was an issue to some people ?",,,,,,,,,1,2
"national health board , physician training , fedral funding  , health programs, and free drugs.","the plan offered some benefits for the people : a National Health Board to oversee the quality of health care services and, enhanced physician training ,  fedral funding and free drugs.",reading,nonumbers,,state at least four benefits that the citizen would have from cliniton's health care plan .,,,,,,,,,1,2
gulliver to john,gulliver to jack,story,nonumbers,,who said that to whom?,,,,,,,,,1,1
lilliput,lilliput town,story,nonumbers,,what was the name of the town?,,,,,,,,,1,1
he gave him clothes and food and freed him from chains,the king gave him clothes and food,story,nonumbers,,why was gulliver grateful to the king?,,,,,,,,,1,1
ross,the worst was ross,reading,nonumbers,,who was the weakest canidiate of the three ?,,,,,,,,,2,2
cliniton defeated dole,dole defeated cliniton,reading,nonumbers,,who defeated whom in this elections  (from the numbers stated above) ?,,,,,,,,,2,2
11%,twelve precent,reading,accurate,,what precentage of votes did the weakest candidate got ?,,,,,,,,,2,2
because  his party lost the house of representatives and the senate in 1994 .,because  his party lost the house of representatives and the senate in 1994 .,reading,nonumbers,,why did the winner had a small chance of wining at the begining ? ,,,,,,,,,2,2
"he was 73 , because they thought he was an old man with an old plan.","he was 70 years old , because people think he is an old man with an old plan.",reading,accurate,,"How old was dole when he entered the election  , and why his age was an issue to some people ?",,,,,,,,,2,2
"health board , physician training , fedral funding  , health programs, and  drugs.","fedral funding  , health programs, and free drugs ,  and national health",reading,nonumbers,,state at least four benefits that the citizen would have from cliniton's health care plan .,,,,,,,,,2,2
gulliver to john,john to gulliver,story,nonumbers,,who said that to whom?,,,,,,,,,2,1
lilliput,lilliput town,story,nonumbers,,what was the name of the town?,,,,,,,,,2,1
he gave him clothes and food and freed him from chains,the king of lilliput gave him clothes and food and freed him from chains,story,nonumbers,,why was gulliver grateful to the king?,,,,,,,,,2,1
ross,the weakest one was dole,reading,nonumbers,,who was the weakest canidiate of the three ?,,,,,,,,,3,2
cliniton defeated dole,cliniton won over dole,reading,nonumbers,,who defeated whom in this elections  (from the numbers stated above) ?,,,,,,,,,3,2
11%,eleven precent,reading,accurate,,what precentage of votes did the weakest candidate got ?,,,,,,,,,3,2
because  his party lost the house of representatives and the senate in 1994 .,because  his party lost the house of representatives,reading,nonumbers,,why did the winner had a small chance of wining at the begining ? ,,,,,,,,,3,2
"he was 73 , because they thought he was an old man with an old plan.","he was 73 , because they thought he was an old man ",reading,accurate,,"How old was dole when he entered the election  , and why his age was an issue to some people ?",,,,,,,,,3,2
"health board , physician training , fedral funding  , health programs, and drugs.","physician training , fedral funding ",reading,nonumbers,,state at least four benefits that the citizen would have from cliniton's health care plan .,,,,,,,,,3,2
gulliver to john,gulliver to john,story,nonumbers,,who said that to whom?,,,,,,,,,3,1
lilliput,lilliput town,story,nonumbers,,what was the name of the town?,,,,,,,,,3,1
he gave him clothes and food and freed him from chains,he showed his gratitude to the king who gave him food and clothes moreover the king set gulliver free after long time of being in chains.,story,nonumbers,,why was gulliver grateful to the king?,,,,,,,,,3,1
because he thought he was a rich man and would make heavy purchases,he thought that that man was rich,reading,nonumbers,,why did the sales man think that the young man would buy lots of clothes ?,,,,,,,,,4,2
he only wanted courteous treatment,he wanted a decent treatment,reading,nonumbers,,what did the young man want when the manager asked him ?,,,,,,,,,4,2
"he had come to the shop in casual dress , and had little attention.",because he dressed in formal and grabbed no attention still ,reading,nonumbers,, why did the pride of the young man got hurt ?,,,,,,,,,4,2
he called on his manager.,he brought his boss,reading,nonumbers,,what did the sales man do when he doubted about that customer ?,,,,,,,,,4,2
because he thought he was a rich man and would make heavy purchases,because he dressed in a good way which indicates that he is a rich young man and would be more likely to buy lots of stuff.,reading,nonumbers,,why did the sales man think that the young man would buy lots of clothes ?,,,,,,,,,4,2
he only wanted courteous treatment,he wanted to buy clothes,reading,nonumbers,,what did the young man want when the manager asked him ?,,,,,,,,,4,2
"the queen , the rooms , the furniture , and the servants.","Gulliver saw the queen , the king's rooms and the king's slaves",story,nonumbers,,what did gulliver see inside the king's palace ?,,,,,,,,,4,1
because these are the traditions.,because of the customs.,story,nonumbers,,why did the tramecksan want to wear high heels ?,,,,,,,,,4,1
